track_n,line,lyric,track_title
1,1,To that place where I repeatedly begin,Slips and Tangles
1,2,Slipping on I wonder why I face,Slips and Tangles
1,3,Affection not embrace,Slips and Tangles
1,4,Another urban wasteland thick with fear,Slips and Tangles
1,5,Icy lights,Slips and Tangles
1,6,Dying embers of another day,Slips and Tangles
1,7,Please tell me what it is I want to say,Slips and Tangles
1,8,I'm,Slips and Tangles
1,9,Slipping on I wonder why I face,Slips and Tangles
1,10,Affection not embrace,Slips and Tangles
1,11,Affection not embrace,Slips and Tangles
2,1,Waking up each morning with confusion in my eyes,Greenest Eyes
2,2,Wind is biting through to wave hello,Greenest Eyes
2,3,See in my reflection an exterior of lies,Greenest Eyes
2,4,Hope this shaky feeling doesn't show,Greenest Eyes
2,5,"As if I have to tell you, there was little left to say",Greenest Eyes
2,6,It was stilted conversation colored blue,Greenest Eyes
2,7,You were sitting down and you got up to walk away,Greenest Eyes
2,8,Tried to stay but I was right behind you,Greenest Eyes
2,9,I was right behind you,Greenest Eyes
2,10,Tension in the stare I cannot bear,Greenest Eyes
2,11,So close to helpless as the songs I sing,Greenest Eyes
2,12,Inside me ring,Greenest Eyes
2,13,"Final words are boring, never touching",Greenest Eyes
2,14,Oh you whispered something in my ear,Greenest Eyes
2,15,I could not hear you,Greenest Eyes
2,16,Girls with the greenest eyes,Greenest Eyes
2,17,The first time you have kissed,Greenest Eyes
2,18,Our quiet softest sighs,Greenest Eyes
2,19,A song for all those who shot and missed,Greenest Eyes
2,20,Waking up each morning to a multitude of ties,Greenest Eyes
2,21,People always have to change and grow,Greenest Eyes
2,22,"Seeing my reflection in your sullen, infected eyes",Greenest Eyes
2,23,Makes me wonder if you'll ever know,Greenest Eyes
2,24,Tried to change relationship with words gray and bland,Greenest Eyes
2,25,Words that never seem to rest or rhyme,Greenest Eyes
2,26,Turned around and still I hope you try to understand,Greenest Eyes
2,27,I was right behind you every time,Greenest Eyes
2,28,I was right behind you,Greenest Eyes
2,29,Tension in the stare I cannot bear,Greenest Eyes
2,30,So close to helpless as the songs I sing,Greenest Eyes
2,31,Inside me ring,Greenest Eyes
2,32,"Final words are boring, never touching",Greenest Eyes
2,33,Oh you whispered something in my ear,Greenest Eyes
2,34,I could not hear you,Greenest Eyes
2,35,Girls with the greenest eyes,Greenest Eyes
2,36,The first time you have kissed,Greenest Eyes
2,37,Our quiet softest sighs,Greenest Eyes
2,38,A song for all those who shot and missed,Greenest Eyes
3,1,Slouch down in my puke-orange chair and sigh,Airport Lounge
3,2,The air is full of nerves and human cells,Airport Lounge
3,3,Beside me sits some awkward girl who lies,Airport Lounge
3,4,Fell half in love within the airport lounge,Airport Lounge
3,5,"Captain says ""No smoking, if we crash try not to die""",Airport Lounge
3,6,Flying some preposterous amount of meters high,Airport Lounge
3,7,The lavatory has smoke alarms and lukewarm water and I can see,Airport Lounge
3,8,"The clouds outside stretched out to nowhere, ribbed and textured easily",Airport Lounge
3,9,So aimless for so long I think I might have lost my way,Airport Lounge
3,10,It's far too late to talk about tomorrow,Airport Lounge
3,11,These are things I feel and things I think and try to say,Airport Lounge
3,12,"Still waiting for the morning, I'm still waiting for today",Airport Lounge
3,13,We'll try to make you see there is no way,Airport Lounge
3,14,Attempts at comprehension always miss,Airport Lounge
3,15,"She lays her body down and tries to say, she tries to say, she tries to say:",Airport Lounge
3,16,"""There is no answer to a kiss""",Airport Lounge
3,17,"These people make me angry, what is your's and what is mine",Airport Lounge
3,18,"Talk of shopping, pure white noise, abide by every ""Don't Walk"" sign",Airport Lounge
3,19,Dinner at the restaurant so isn't very nice,Airport Lounge
3,20,Nineteen dollars and fifty cents for some tasteless chicken and wild rice,Airport Lounge
3,21,So aimless for so long I think I might have lost my way,Airport Lounge
3,22,It's far too late to talk about tomorrow,Airport Lounge
3,23,These are things I feel and things I think and try to say,Airport Lounge
3,24,"Still waiting for the morning, I'm still waiting for today",Airport Lounge
3,25,So aimless for so long I think I might have lost my way,Airport Lounge
3,26,It's far too late to talk about tomorrow,Airport Lounge
3,27,These are things I feel and things I think and try to say,Airport Lounge
3,28,"Still waiting for the morning, I'm still waiting for today",Airport Lounge
4,1,Expectations loom and haunt me,Unearthly Refrain
4,2,With these questions I must choose,Unearthly Refrain
4,3,In our minds that youth formed with the,Unearthly Refrain
4,4,Friction of opposing views,Unearthly Refrain
4,5,We're not spilled on grasping whims,Unearthly Refrain
4,6,"Kick 'em in, so plain to see",Unearthly Refrain
4,7,Stressly fierce and yet unvented,Unearthly Refrain
4,8,Still I have no tragedy,Unearthly Refrain
4,9,To be soaring in un un un unearthly refrain,Unearthly Refrain
4,10,"Fall face down in the mud for the tiny comment, rough and bland",Unearthly Refrain
4,11,To be soaring in un un un unearthly refrain,Unearthly Refrain
4,12,"Fall face down in the mud for the tiny comment, rough and bland",Unearthly Refrain
4,13,"Salted crackers, sun and water",Unearthly Refrain
4,14,Sprinting fast through unmarked snow,Unearthly Refrain
4,15,With all these thoughts of moving forward,Unearthly Refrain
4,16,"That's okay, we eat too slow",Unearthly Refrain
4,17,Smell and taste and interaction,Unearthly Refrain
4,18,"Watch me wonder, watch me strive",Unearthly Refrain
4,19,Breathing deep the sun's first shadows,Unearthly Refrain
4,20,"'Cause I live, 'cause I am alive",Unearthly Refrain
4,21,To be soaring in un un un unearthly refrain,Unearthly Refrain
4,22,"Fall face down in the mud for the tiny comment, rough and bland",Unearthly Refrain
4,23,To be soaring in un un un unearthly refrain,Unearthly Refrain
4,24,"Fall face down in the mud for the tiny comment, rough and bland",Unearthly Refrain
4,25,You're rough and bland,Unearthly Refrain
5,1,"Flying, floating, softly spinning swiftly through my dreams",Happy Song
5,2,Attempts are made and understanding what it really means,Happy Song
5,3,Trying to hold humanity in life got truly mad,Happy Song
5,4,Extenuating circumstances always make me sad,Happy Song
5,5,"And sadness is eternity, I cannot tell you why",Happy Song
5,6,Generally speaking all I wanna do is sigh,Happy Song
5,7,"Cigarettes and cups of coffee, skies as clean as blue",Happy Song
5,8,"All of this is anger, this is pain, but just for you",Happy Song
5,9,Here is a happy song to burn the days away,Happy Song
5,10,"Happy song, to drown the bad today",Happy Song
5,11,"Happy song, it makes you wanna say",Happy Song
5,12,"Happy song, I almost feel okay",Happy Song
5,13,"Call myself a coward, I defy all I believe",Happy Song
5,14,"I think of things beyond me, things I never could conceive",Happy Song
5,15,"Love and death and happiness, something in your eyes",Happy Song
5,16,Is telling me you're understanding all my lies are lies,Happy Song
5,17,Expressing all this feeling is important for a while,Happy Song
5,18,"Words are just disguises, there's some meaning in your smile",Happy Song
5,19,"No one seems to notice, I'm the only one to see",Happy Song
5,20,"That all of this is anger, this is pain, but just for me",Happy Song
5,21,Here is a happy song to burn the days away,Happy Song
5,22,"Happy song, to drown the bad today",Happy Song
5,23,"Happy song, it makes you wanna say",Happy Song
5,24,"Happy song, I almost feel okay",Happy Song
5,25,Well on my way to feeling okay,Happy Song
5,26,"Okay, okay",Happy Song
5,27,Okay,Happy Song
6,1,Another Sunday afternoon,Sunday Afternoon
6,2,Nothing much to do,Sunday Afternoon
6,3,But sit and try and make some sense of what I think about you,Sunday Afternoon
6,4,Soaked with surroundings that just make me yawn,Sunday Afternoon
6,5,First snow is melting outside on the lawn,Sunday Afternoon
6,6,Scattered bits of yesterday with melancholy flecks of grey,Sunday Afternoon
6,7,Creeping back to tell me I was wrong,Sunday Afternoon
6,8,A heartful of what's hard to say,Sunday Afternoon
6,9,I've let that skipping record play far too long,Sunday Afternoon
6,10,Fall,Sunday Afternoon
6,11,Still were shot down by the likes of it all,Sunday Afternoon
6,12,Fly,Sunday Afternoon
6,13,Up above all that still steals the lights from your carnival,Sunday Afternoon
6,14,One smiled and said to me don't stay awake,Sunday Afternoon
6,15,Some kind of affirmation knowing you were truly wrong,Sunday Afternoon
6,16,Some kind of happiness at things we never see,Sunday Afternoon
6,17,No we are not half as smart as you pretend to,Sunday Afternoon
6,18,Well you were right I have pretended to be me,Sunday Afternoon
6,19,And now these jaded eyes,Sunday Afternoon
6,20,Can barely see where is this going anyway,Sunday Afternoon
6,21,It's always hard to say,Sunday Afternoon
6,22,Hard to say,Sunday Afternoon
